DATE,MTSO133FMS
2007-04-01,205967
2007-05-01,231937
2007-06-01,249036
2007-07-01,206886
2007-08-01,283518
2007-09-01,172488
2007-10-01,235014
2007-11-01,249293
2007-12-01,228721
2008-01-01,237379
2008-02-01,281287
2008-03-01,227028
2008-04-01,244469
2008-05-01,290199
2008-06-01,226365
2008-07-01,263261
2008-08-01,268930
2008-09-01,226494
2008-10-01,320360
2008-11-01,269970
2008-12-01,289540
2009-01-01,289548
2009-02-01,281171
2009-03-01,320514
2009-04-01,287113
2009-05-01,306868
2009-06-01,309671
2009-07-01,332160
2009-08-01,249084
2009-09-01,264088
2009-10-01,311656
2009-11-01,253850
2009-12-01,310329
2010-01-01,247873
2010-02-01,328429
2010-03-01,218745
2010-04-01,327950
2010-05-01,282721
2010-06-01,319470
2010-07-01,320588
2010-08-01,254524
2010-09-01,279813
2010-10-01,286384
2010-11-01,299364
2010-12-01,315009
2011-01-01,276346
2011-02-01,333163
2011-03-01,339048
2011-04-01,329929
2011-05-01,232577
2011-06-01,292738
2011-07-01,288439
2011-08-01,303388
2011-09-01,302903
2011-10-01,261539
2011-11-01,289704
2011-12-01,325930
2012-01-01,261726
2012-02-01,335090
2012-03-01,369372
2012-04-01,259690
2012-05-01,305348
2012-06-01,319919
2012-07-01,254190
2012-08-01,369393
2012-09-01,186386
2012-10-01,304311
2012-11-01,333841
2012-12-01,270699
2013-01-01,269340
2013-02-01,326354
2013-03-01,292548
2013-04-01,293834
2013-05-01,335914
2013-06-01,170126
2013-07-01,297627
2013-08-01,333275
2013-09-01,226355
2013-10-01,289514
2013-11-01,317679
2013-12-01,231821
2014-01-01,306247
2014-02-01,337880
2014-03-01,252741
2014-04-01,307383
2014-05-01,329860
2014-06-01,253127
2014-07-01,309113
2014-08-01,322925
2014-09-01,245441
2014-10-01,334432
2014-11-01,248254
2014-12-01,333463
2015-01-01,321738
2015-02-01,331747
2015-03-01,287097.39783405
2015-04-01,315087.16235127
2015-05-01,294771.10583673
2015-06-01,291157.28935924
2015-07-01,374680.13358053
2015-08-01,275257.35711838
2015-09-01,274412.30865186
2015-10-01,347578.33020366
2015-11-01,269520.71951356
2015-12-01,364074.6566499
2016-01-01,258415.69256629
2016-02-01,361760.85722156
2016-03-01,335890.55770011
2016-04-01,331980.47259785
2016-05-01,277110.84424098
2016-06-01,323320.23530394
2016-07-01,322812.90274045
2016-08-01,338438.38777361
2016-09-01,323177.87114884
2016-10-01,265884.26914769
2016-11-01,336525.52910382
2016-12-01,346719.93270795
2017-01-01,292812.10748522
2017-02-01,363757.11782815
2017-03-01,392815.87973624
2017-04-01,273177.31915318
2017-05-01,328843.9692987
2017-06-01,428893.67878413
2017-07-01,274979.52605458
2017-08-01,333999.74607238
2017-09-01,340722.21582537
2017-10-01,298554.66874265
2017-11-01,346921.69999197
2017-12-01,348990.44973869
2018-01-01,311801.8700787
2018-02-01,370870.88947229
2018-03-01,419575.61932383
2018-04-01,296191.55460363
2018-05-01,363871.38125989
2018-06-01,391136.18456514
2018-07-01,302131.45248272
2018-08-01,433262.79160834
2018-09-01,224443.33533663
2018-10-01,353182.66942354
2018-11-01,410863.68597308
2018-12-01,326123.39688738
2019-01-01,331297.1820314
2019-02-01,401242.71700561
2019-03-01,375755.99614285
2019-04-01,375240.02146573
2019-05-01,439832.88937043
2019-06-01,342428.65096798
2019-07-01,371043.5933254
2019-08-01,428309.32651435
2019-09-01,291260.49889764
2019-10-01,379987.72277271
2019-11-01,434023.70995402
2019-12-01,349077.95880131
2020-01-01,404881.19377634
2020-02-01,423285.75352462
2020-03-01,355891.39624982
2020-04-01,979713.62939557
2020-05-01,572681.97059825
2020-06-01,1104902.73684442
2020-07-01,626487.38953523
2020-08-01,423316.29211783
2020-09-01,497779.90523144
2020-10-01,521768.50357994
2020-11-01,364818.85911795
2020-12-01,489681.55583604
2021-01-01,547483.26842566
2021-02-01,559235.99928085
2021-03-01,927205.93752383
2021-04-01,664765.65563825
2021-05-01,595697.95152198
2021-06-01,623359.21674689
2021-07-01,564050.18796311
2021-08-01,439012.73655966
2021-09-01,521067.34116283
2021-10-01,448982.72815582
2021-11-01,472543.07235179
2021-12-01,508041.03098277
2022-01-01,346379.91400583
2022-02-01,506475.49550495
2022-03-01,507854.54282165
