DATE,NCBDBIQ027S
1945-10-01,24000.0
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,24995.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,27843.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,32137.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,35036.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,36705.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,40061.0
1952-01-01,41201.0
1952-04-01,42647.0
1952-07-01,43816.0
1952-10-01,44828.0
1953-01-01,45627.0
1953-04-01,46567.0
1953-07-01,47147.0
1953-10-01,48414.0
1954-01-01,49314.0
1954-04-01,50208.0
1954-07-01,51583.0
1954-10-01,52078.0
1955-01-01,52555.0
1955-04-01,53159.0
1955-07-01,53624.0
1955-10-01,54926.0
1956-01-01,55348.0
1956-04-01,56235.0
1956-07-01,57414.0
1956-10-01,58418.0
1957-01-01,59863.0
1957-04-01,61295.0
1957-07-01,62852.0
1957-10-01,64494.0
1958-01-01,66653.0
1958-04-01,67808.0
1958-07-01,69258.0
1958-10-01,70373.0
1959-01-01,70959.0
1959-04-01,71627.0
1959-07-01,72264.0
1959-10-01,73109.0
1960-01-01,73643.0
1960-04-01,74654.0
1960-07-01,75671.0
1960-10-01,76985.0
1961-01-01,77200.0
1961-04-01,79256.0
1961-07-01,80254.0
1961-10-01,81705.0
1962-01-01,82568.0
1962-04-01,84073.0
1962-07-01,84921.0
1962-10-01,85841.0
1963-01-01,86793.0
1963-04-01,87682.0
1963-07-01,88336.0
1963-10-01,89382.0
1964-01-01,90039.0
1964-04-01,91251.0
1964-07-01,92139.0
1964-10-01,93533.0
1965-01-01,94189.0
1965-04-01,95668.0
1965-07-01,97560.0
1965-10-01,98057.0
1966-01-01,101043.0
1966-04-01,103651.0
1966-07-01,106689.0
1966-10-01,109096.0
1967-01-01,113294.0
1967-04-01,117478.0
1967-07-01,122009.0
1967-10-01,125166.0
1968-01-01,128216.0
1968-04-01,131662.0
1968-07-01,136491.0
1968-10-01,139274.0
1969-01-01,143342.0
1969-04-01,146657.0
1969-07-01,150245.0
1969-10-01,152356.0
1970-01-01,157113.0
1970-04-01,162692.0
1970-07-01,168518.0
1970-10-01,173889.0
1971-01-01,180555.0
1971-04-01,184497.0
1971-07-01,188691.0
1971-10-01,191896.0
1972-01-01,196002.0
1972-04-01,200569.0
1972-07-01,203414.0
1972-10-01,205352.0
1973-01-01,206028.0
1973-04-01,209771.0
1973-07-01,213220.0
1973-10-01,217721.0
1974-01-01,222690.0
1974-04-01,229232.0
1974-07-01,236357.0
1974-10-01,243170.0
1975-01-01,254526.0
