DATE,TOTALSL
1962-05-01,64.60104
1962-06-01,65.13742
1962-07-01,65.51218
1962-08-01,66.05512
1962-09-01,66.43833
1962-10-01,67.02888
1962-11-01,67.6421
1962-12-01,68.12672
1963-01-01,68.65646
1963-02-01,69.37675
1963-03-01,70.07341
1963-04-01,70.80161
1963-05-01,71.33514
1963-06-01,71.87559
1963-07-01,72.71645
1963-08-01,73.57616
1963-09-01,74.16977
1963-10-01,75.11295
1963-11-01,75.60692
1963-12-01,76.58145
1964-01-01,77.46136
1964-02-01,78.33623
1964-03-01,79.24041
1964-04-01,79.90816
1964-05-01,80.83452
1964-06-01,81.42818
1964-07-01,82.2945
1964-08-01,82.97305
1964-09-01,83.92197
1964-10-01,84.53018
1964-11-01,84.94403
1964-12-01,85.95957
1965-01-01,87.18259
1965-02-01,88.15204
1965-03-01,88.91607
1965-04-01,90.04741
1965-05-01,90.88588
1965-06-01,91.83009
1965-07-01,92.69463
1965-08-01,93.2871
1965-09-01,94.12648
1965-10-01,94.80453
1965-11-01,95.40527
1965-12-01,95.95472
1966-01-01,97.03072
1966-02-01,97.75836
1966-03-01,98.44639
1966-04-01,98.80509
1966-05-01,99.30544
1966-06-01,99.78867
1966-07-01,100.06144
1966-08-01,100.5867
1966-09-01,100.67245
1966-10-01,100.95307
1966-11-01,101.43735
1966-12-01,101.78822
1967-01-01,102.19855
1967-02-01,102.36259
1967-03-01,102.73216
1967-04-01,102.88594
1967-05-01,103.1514
1967-06-01,103.74104
1967-07-01,104.09425
1967-08-01,104.67752
1967-09-01,105.17229
1967-10-01,105.44072
1967-11-01,106.29661
1967-12-01,106.84264
1968-01-01,106.7724
1968-02-01,107.92842
1968-03-01,108.68905
1968-04-01,109.59758
1968-05-01,110.37701
1968-06-01,111.06785
1968-07-01,112.1237
1968-08-01,112.84495
1968-09-01,113.75424
1968-10-01,115.22826
1968-11-01,116.19605
1968-12-01,117.39909
1969-01-01,118.22598
1969-02-01,119.44904
1969-03-01,120.43148
1969-04-01,121.52369
1969-05-01,122.56481
1969-06-01,123.38066
1969-07-01,124.00398
1969-08-01,124.60868
1969-09-01,125.31914
1969-10-01,126.01972
1969-11-01,126.56923
1969-12-01,127.15618
1970-01-01,127.80299
1970-02-01,128.19115
1970-03-01,128.2800
1970-04-01,128.37472
1970-05-01,128.53404
1970-06-01,129.18543
1970-07-01,129.85691
1970-08-01,130.1846
1970-09-01,130.85083
1970-10-01,131.11307
1970-11-01,130.80743
1970-12-01,131.55155
1971-01-01,134.16406
1971-02-01,134.93292
1971-03-01,135.73629
1971-04-01,136.99253
1971-05-01,137.84093
1971-06-01,138.76893
1971-07-01,139.90802
1971-08-01,141.25209
1971-09-01,142.76657
1971-10-01,143.92676
1971-11-01,145.63484
1971-12-01,146.93018
1972-01-01,147.66048
1972-02-01,148.92454
1972-03-01,150.77106
1972-04-01,152.32195
1972-05-01,154.19949
1972-06-01,156.15301
1972-07-01,157.27992
1972-08-01,158.93936
1972-09-01,160.55329
1972-10-01,162.22503
1972-11-01,164.10159
1972-12-01,166.1891
1973-01-01,169.29467
1973-02-01,171.60183
1973-03-01,173.90894
1973-04-01,175.76268
1973-05-01,178.12795
1973-06-01,180.42927
1973-07-01,182.3182
1973-08-01,184.32651
1973-09-01,185.34551
1973-10-01,187.47609
1973-11-01,189.3088
1973-12-01,190.08631
1974-01-01,191.31247
1974-02-01,192.51536
1974-03-01,193.35799
1974-04-01,194.60355
1974-05-01,195.8699
1974-06-01,196.8878
1974-07-01,198.29354
1974-08-01,199.3168
1974-09-01,199.61712
1974-10-01,199.53477
1974-11-01,199.25468
1974-12-01,198.91784
1975-01-01,199.0636
1975-02-01,199.50775
1975-03-01,199.10994
1975-04-01,198.74286
1975-05-01,198.73721
1975-06-01,196.04336
1975-07-01,197.57936
1975-08-01,198.21159
1975-09-01,199.42896
1975-10-01,200.43428
1975-11-01,201.49288
1975-12-01,204.0020
1976-01-01,205.52079
1976-02-01,206.70929
1976-03-01,208.33857
1976-04-01,210.50006
1976-05-01,211.40742
1976-06-01,213.2401
1976-07-01,215.2727
1976-08-01,216.50986
1976-09-01,218.70878
1976-10-01,220.8671
1976-11-01,222.80491
1976-12-01,225.72159
1977-01-01,225.73315
1977-02-01,228.52821
1977-03-01,232.34827
1977-04-01,235.59405
1977-05-01,239.01809
1977-06-01,242.40858
1977-07-01,245.48106
1977-08-01,248.47453
1977-09-01,251.2618
