DATE,MVLOAS
2009-04-01,742.02088
2009-07-01,736.77191
2009-10-01,719.08399
2010-01-01,717.93152
2010-04-01,708.05208
2010-07-01,698.39493
2010-10-01,713.49627
2011-01-01,730.08818
2011-04-01,734.45495
2011-07-01,743.75707
2011-10-01,751.04092
2012-01-01,759.33316
2012-04-01,777.54724
2012-07-01,798.39669
2012-10-01,809.24037
2013-01-01,821.43429
2013-04-01,841.20531
2013-07-01,866.54287
2013-10-01,878.18848
2014-01-01,891.66137
2014-04-01,917.51791
2014-07-01,942.63292
2014-10-01,955.28956
2015-01-01,962.3637
2015-04-01,987.55887
2015-07-01,1016.92974
2015-10-01,990.0397
2016-01-01,1000.21858
2016-04-01,1022.17458
2016-07-01,1051.19465
2016-10-01,1062.3413
2017-01-01,1068.02541
2017-04-01,1081.51184
2017-07-01,1093.95897
2017-10-01,1101.99185
2018-01-01,1105.01826
2018-04-01,1115.60148
2018-07-01,1131.40926
2018-10-01,1139.60837
2019-01-01,1144.17073
2019-04-01,1159.94552
2019-07-01,1175.43232
2019-10-01,1184.1415
2020-01-01,1183.90894
2020-04-01,1197.41191
2020-07-01,1218.43639
2020-10-01,1224.44674
2021-01-01,1240.75393
2021-04-01,1275.24127
2021-07-01,1300.41438
2021-10-01,1314.59556
