DATE,REVOLSL
1981-06-01,58.74201
1981-07-01,59.0447
1981-08-01,59.29919
1981-09-01,60.19475
1981-10-01,60.62736
1981-11-01,60.75736
1981-12-01,60.9280
1982-01-01,61.1961
1982-02-01,61.46881
1982-03-01,61.62525
1982-04-01,62.25483
1982-05-01,62.84921
1982-06-01,63.48542
1982-07-01,64.34066
1982-08-01,64.80438
1982-09-01,65.14116
1982-10-01,65.44613
1982-11-01,65.64031
1982-12-01,66.3483
1983-01-01,66.72623
1983-02-01,66.7562
1983-03-01,67.54154
1983-04-01,68.40334
1983-05-01,68.88553
1983-06-01,70.2808
1983-07-01,71.54034
1983-08-01,72.56593
1983-09-01,73.56389
1983-10-01,75.12216
1983-11-01,76.78694
1983-12-01,79.02725
1984-01-01,79.11394
1984-02-01,80.70449
1984-03-01,83.05709
1984-04-01,84.32707
1984-05-01,87.09005
1984-06-01,89.41895
1984-07-01,90.38567
1984-08-01,92.43169
1984-09-01,94.47191
1984-10-01,96.23311
1984-11-01,98.1359
1984-12-01,100.38563
1985-01-01,102.84183
1985-02-01,105.34046
1985-03-01,107.95035
1985-04-01,110.06839
1985-05-01,111.15629
1985-06-01,112.39548
1985-07-01,114.13431
1985-08-01,115.9937
1985-09-01,118.33614
1985-10-01,120.23606
1985-11-01,122.54642
1985-12-01,124.4658
1986-01-01,127.08832
1986-02-01,128.79756
1986-03-01,130.17799
1986-04-01,132.04035
1986-05-01,133.59911
1986-06-01,134.40945
1986-07-01,135.66107
1986-08-01,136.85857
1986-09-01,137.24737
1986-10-01,138.90654
1986-11-01,139.96312
1986-12-01,141.06815
1987-01-01,141.10787
1987-02-01,142.42395
1987-03-01,143.10173
1987-04-01,145.49185
1987-05-01,147.3065
1987-06-01,149.83379
1987-07-01,152.39741
1987-08-01,153.8712
1987-09-01,156.46089
1987-10-01,158.07433
1987-11-01,158.01895
1987-12-01,160.85391
1988-01-01,164.6819
1988-02-01,165.95733
1988-03-01,167.5259
1988-04-01,169.09073
1988-05-01,170.74958
1988-06-01,172.96318
1988-07-01,174.01927
1988-08-01,175.86892
1988-09-01,177.48012
1988-10-01,179.83214
1988-11-01,183.01111
1988-12-01,184.59312
1989-01-01,185.72307
1989-02-01,187.6148
1989-03-01,190.92409
1989-04-01,193.14159
1989-05-01,195.15598
1989-06-01,197.68395
1989-07-01,199.52882
1989-08-01,201.86261
1989-09-01,203.17698
1989-10-01,204.92586
1989-11-01,207.6253
1989-12-01,211.22983
1990-01-01,213.64744
1990-02-01,216.50457
1990-03-01,217.58937
1990-04-01,219.76962
1990-05-01,223.27619
1990-06-01,225.66482
1990-07-01,229.58626
1990-08-01,232.41491
1990-09-01,234.72503
1990-10-01,236.17064
1990-11-01,239.29412
1990-12-01,238.64262
1991-01-01,238.71484
1991-02-01,242.28812
1991-03-01,246.84076
1991-04-01,248.74389
1991-05-01,250.93103
1991-06-01,252.24644
1991-07-01,253.72026
1991-08-01,255.89274
1991-09-01,258.81222
1991-10-01,261.34824
1991-11-01,262.77728
1991-12-01,263.76855
1992-01-01,265.38649
1992-02-01,266.48213
1992-03-01,266.7557
1992-04-01,267.82923
1992-05-01,268.7518
1992-06-01,270.70763
1992-07-01,270.81759
1992-08-01,272.0805
1992-09-01,273.17696
1992-10-01,275.20764
1992-11-01,275.45975
1992-12-01,278.44967
1993-01-01,280.99481
1993-02-01,283.53125
1993-03-01,284.89041
1993-04-01,286.97613
1993-05-01,288.47063
1993-06-01,289.96125
1993-07-01,294.23201
1993-08-01,296.26417
1993-09-01,299.44798
1993-10-01,301.65409
1993-11-01,306.56401
1993-12-01,309.90802
1994-01-01,312.52167
1994-02-01,315.41372
1994-03-01,319.77737
1994-04-01,325.01574
1994-05-01,329.09763
1994-06-01,334.8528
1994-07-01,339.94548
1994-08-01,347.6707
1994-09-01,350.08391
1994-10-01,352.77903
1994-11-01,362.59272
1994-12-01,365.56956
1995-01-01,372.00317
1995-02-01,378.10338
1995-03-01,385.55992
1995-04-01,389.74358
1995-05-01,398.16397
1995-06-01,406.08743
1995-07-01,409.14129
1995-08-01,417.56574
1995-09-01,429.03215
1995-10-01,433.45042
1995-11-01,436.74016
1995-12-01,443.92009
1996-01-01,449.99468
1996-02-01,455.59738
1996-03-01,461.59195
1996-04-01,465.78159
1996-05-01,470.65979
1996-06-01,474.26236
1996-07-01,479.26701
1996-08-01,483.29311
1996-09-01,486.28481
1996-10-01,490.44162
1996-11-01,497.51148
1996-12-01,507.51657
1997-01-01,510.47026
1997-02-01,511.71355
1997-03-01,511.95609
1997-04-01,511.86457
1997-05-01,514.48111
1997-06-01,515.56618
1997-07-01,520.89635
1997-08-01,524.44478
1997-09-01,528.7224
1997-10-01,532.04428
1997-11-01,534.8078
1997-12-01,540.00556
1998-01-01,537.94246
1998-02-01,538.89429
1998-03-01,541.44751
1998-04-01,560.90683
1998-05-01,559.83413
1998-06-01,561.55045
1998-07-01,560.55394
1998-08-01,564.42041
1998-09-01,568.61569
1998-10-01,572.28934
1998-11-01,571.20779
1998-12-01,581.41478
1999-01-01,585.17701
1999-02-01,585.45404
1999-03-01,585.15722
1999-04-01,585.73442
1999-05-01,588.37769
1999-06-01,594.61074
1999-07-01,600.99538
1999-08-01,603.52893
1999-09-01,606.88656
1999-10-01,608.14154
1999-11-01,610.10183
1999-12-01,610.69647
2000-01-01,614.84655
2000-02-01,617.33256
2000-03-01,622.51097
2000-04-01,625.73594
2000-05-01,631.85715
2000-06-01,639.15855
2000-07-01,646.92701
2000-08-01,656.02189
2000-09-01,661.99681
2000-10-01,667.94815
2000-11-01,673.99474
2000-12-01,682.64637
2001-01-01,686.7615
2001-02-01,697.98251
2001-03-01,702.56077
2001-04-01,707.44702
2001-05-01,709.59051
2001-06-01,712.00255
2001-07-01,707.89002
2001-08-01,706.69134
2001-09-01,707.26263
2001-10-01,705.40852
2001-11-01,712.65874
2001-12-01,714.84073
2002-01-01,714.7815
2002-02-01,714.8221
2002-03-01,719.95604
2002-04-01,725.2277
2002-05-01,728.3641
2002-06-01,732.81338
2002-07-01,736.26446
2002-08-01,740.48945
2002-09-01,743.32636
2002-10-01,747.93958
2002-11-01,749.90622
2002-12-01,750.94745
2003-01-01,754.7894
2003-02-01,758.60134
2003-03-01,759.65521
2003-04-01,760.75243
2003-05-01,763.70474
2003-06-01,763.81488
2003-07-01,764.38866
2003-08-01,766.3244
2003-09-01,766.04192
2003-10-01,765.53519
2003-11-01,765.00792
2003-12-01,768.25831
2004-01-01,770.6725
2004-02-01,772.36227
2004-03-01,778.09248
2004-04-01,775.55479
2004-05-01,778.08865
2004-06-01,779.73122
2004-07-01,786.08714
2004-08-01,787.01166
2004-09-01,793.63581
2004-10-01,796.69649
2004-11-01,797.18497
2004-12-01,799.55218
2005-01-01,804.63576
2005-02-01,804.10729
2005-03-01,804.63997
2005-04-01,810.55839
2005-05-01,809.21155
2005-06-01,814.18165
2005-07-01,814.90846
2005-08-01,817.84241
2005-09-01,819.65175
2005-10-01,821.08267
2005-11-01,825.87808
2005-12-01,829.51836
2006-01-01,879.57712
2006-02-01,885.28973
2006-03-01,888.24358
2006-04-01,893.52692
2006-05-01,899.47133
2006-06-01,897.48331
2006-07-01,898.67663
2006-08-01,903.92428
2006-09-01,907.81435
2006-10-01,911.61451
2006-11-01,917.34618
2006-12-01,923.87678
2007-01-01,927.62946
2007-02-01,933.3558
2007-03-01,938.46358
2007-04-01,941.38651
2007-05-01,950.62604
2007-06-01,953.92509
2007-07-01,958.32231
2007-08-01,968.22562
2007-09-01,975.49977
2007-10-01,982.85285
2007-11-01,994.56528
2007-12-01,1001.6253
2008-01-01,1008.03446
2008-02-01,1014.94446
2008-03-01,1016.772
2008-04-01,1018.53196
2008-05-01,1019.63696
2008-06-01,1019.32207
2008-07-01,1018.3639
2008-08-01,1017.43052
2008-09-01,1012.56094
2008-10-01,1016.46134
2008-11-01,1010.48206
2008-12-01,1003.99704
2009-01-01,1007.21524
2009-02-01,998.87618
2009-03-01,984.51263
2009-04-01,980.66614
2009-05-01,966.76034
2009-06-01,963.14709
2009-07-01,960.21734
2009-08-01,952.04504
2009-09-01,947.92326
2009-10-01,940.39211
2009-11-01,924.82091
2009-12-01,916.07663
2010-01-01,909.53116
2010-02-01,902.33023
2010-03-01,897.87961
2010-04-01,896.60291
2010-05-01,882.59544
2010-06-01,877.04312
2010-07-01,873.22328
2010-08-01,866.78493
2010-09-01,862.09068
2010-10-01,855.38039
2010-11-01,851.02371
2010-12-01,839.10267
2011-01-01,835.41827
2011-02-01,833.74499
2011-03-01,835.66793
2011-04-01,834.22614
2011-05-01,832.51072
2011-06-01,836.24843
2011-07-01,836.45922
2011-08-01,836.2136
2011-09-01,838.29307
2011-10-01,838.23509
2011-11-01,842.06965
2011-12-01,840.16423
2012-01-01,840.20325
2012-02-01,841.40041
2012-03-01,840.9817
2012-04-01,838.95006
2012-05-01,840.90767
2012-06-01,838.64593
2012-07-01,837.31924
2012-08-01,841.74237
2012-09-01,841.4003
2012-10-01,843.95078
2012-11-01,844.93536
2012-12-01,839.98084
2013-01-01,843.48083
2013-02-01,846.49021
2013-03-01,845.46574
2013-04-01,847.14744
2013-05-01,849.9571
2013-06-01,849.42815
2013-07-01,849.92349
2013-08-01,850.72562
2013-09-01,851.57568
2013-10-01,854.89371
2013-11-01,852.3493
2013-12-01,854.1388
2014-01-01,857.83444
2014-02-01,860.45674
2014-03-01,862.2017
2014-04-01,870.54064
2014-05-01,872.72522
2014-06-01,873.50963
2014-07-01,879.0246
2014-08-01,880.24702
2014-09-01,881.05822
2014-10-01,883.35541
2014-11-01,882.99115
2014-12-01,887.38164
2015-01-01,877.87415
2015-02-01,879.12482
2015-03-01,885.73525
2015-04-01,893.20356
2015-05-01,894.66071
2015-06-01,900.94749
2015-07-01,905.47874
2015-08-01,908.532
2015-09-01,914.78445
2015-10-01,916.95191
2015-11-01,921.12164
2015-12-01,898.08265
2016-01-01,901.673
2016-02-01,904.1768
2016-03-01,915.85886
2016-04-01,920.1619
2016-05-01,922.82909
2016-06-01,931.25055
2016-07-01,935.8391
2016-08-01,940.70606
2016-09-01,944.53241
2016-10-01,946.37404
2016-11-01,957.48852
2016-12-01,960.09549
2017-01-01,962.27791
2017-02-01,967.60004
2017-03-01,971.54202
