DATE,SLGSDODNS
2016-07-01,3163.397
2016-10-01,3159.37
2017-01-01,3142.272
2017-04-01,3138.536
2017-07-01,3134.717
2017-10-01,3158.998
2018-01-01,3137.556
2018-04-01,3138.628
2018-07-01,3140.654
2018-10-01,3120.282
2019-01-01,3102.889
2019-04-01,3089.435
2019-07-01,3095.486
2019-10-01,3119.025
2020-01-01,3126.568
2020-04-01,3154.145
2020-07-01,3198.072
2020-10-01,3210.373
2021-01-01,3237.779
2021-04-01,3263.527
2021-07-01,3278.662
2021-10-01,3271.343
